Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Rect_L26.5mm_W10.5mm_P22.50mm_MKS4,1,1u,
"C2, C3, C4, C7",CP_Radial_Tantal_D5.5mm_P2.50mm,4,0.47u,
"C5, C6",CP_Radial_Tantal_D5.5mm_P2.50mm,2,4.7u,
"D1, D2, D3, D4, D5",D_DO-41_SOD81_P7.62mm_Horizontal,5,1N4007,
J1,SolderWire-2.5sqmm_1x02_P7.2mm_D2.4mm_OD3.6mm,1,MAG,
J2,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,lD,
J3,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,GtD,
J4,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,scrD,
J5,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,AtG,
J6,SolderWire-2.5sqmm_1x02_P7.2mm_D2.4mm_OD3.6mm,1,COIL,
J7,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,aD,
J8,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
Q1,TO-220-3_Vertical,1,TIC106,
"RV1, RV3",Potentiometer_Bourns_3296W_Vertical,2,50,
RV2,Potentiometer_Bourns_3296W_Vertical,1,2k,
RV4,Potentiometer_Bourns_3296W_Vertical,1,500,
RV5,Potentiometer_Bourns_3296W_Vertical,1,1k,
